CC number long form,CC number short form,Name,VC_numeric,VC_printed,Status
M177.01.a,M177.1.a,Abietinella abietina var. abietina,1,1,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,8,8,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,12,12,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,13,13,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,15,15,Bracketed
M177.01.a,M177.1.a,Abietinella abietina var. abietina,19,19,Bracketed
M177.01.a,M177.1.a,Abietinella abietina var. abietina,20,20,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,23,23,Bracketed
M177.01.a,M177.1.a,Abietinella abietina var. abietina,25,25,Bracketed
M177.01.a,M177.1.a,Abietinella abietina var. abietina,26,26,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,27,27,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,28,28,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,29,29,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,30,30,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,32,32,Bracketed
M177.01.a,M177.1.a,Abietinella abietina var. abietina,33,33,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,41,41,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,44,44,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,49,49,Bracketed
M177.01.a,M177.1.a,Abietinella abietina var. abietina,52,52,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,53,53,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,55,55,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,64,64,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,66,66,Bracketed
M177.01.a,M177.1.a,Abietinella abietina var. abietina,69,69,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,71,71,Bracketed
M177.01.a,M177.1.a,Abietinella abietina var. abietina,75,75,Bracketed
M177.01.a,M177.1.a,Abietinella abietina var. abietina,82,82,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,85,85,Bracketed
M177.01.a,M177.1.a,Abietinella abietina var. abietina,87,87,Bracketed
M177.01.a,M177.1.a,Abietinella abietina var. abietina,88,88,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,89,89,Bracketed
M177.01.a,M177.1.a,Abietinella abietina var. abietina,90,90,
M177.01.a,M177.1.a,Abietinella abietina var. abietina,94,94,Bracketed
M177.01.a,M177.1.a,Abietinella abietina var. abietina,106,106,Bracketed
M177.01.a,M177.1.a,Abietinella abietina var. abietina,221,H21,Bracketed
M177.01.a,M177.1.a,Abietinella abietina var. abietina,240,H40,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,6,6,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,8,8,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,9,9,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,11,11,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,12,12,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,13,13,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,15,15,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,16,16,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,17,17,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,20,20,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,22,22,
M177.01.b,M177.1.b,Abietinella abietina var. hystricosa,23,23,
